customer_id,signup_date,last_active_date,age,region,city_raw,customer_segment,acquisition_channel,product_plan,device_type,monthly_sessions,avg_monthly_spend,discount_pct,support_tickets_90d,satisfaction_score,estimated_income_czk,payment_method,churned,satisfaction_missing,city_clean
100037,2024-11-14,2026-04-24,18,plzen,pilsen,young professional,referral,basic,mobile,11,568.38,7.6,0,7.7,41200,card,0,0,plzen
100038,2022-07-09,2026-04-25,47,brno,brno,small business,organic search,basic,mobile,11,974.61,19.0,3,6.6,82500,card,0,0,brno
100039,2024-08-15,2026-04-17,18,brno,brn,student,social media,plus,unknown,3,396.98,16.6,2,7.9,17600,card,0,0,brno
100040,2023-11-18,2026-04-11,32,ostrava,ostrava,student,social media,basic,desktop,6,479.5,8.6,2,6.9,14100,bank_transfer,0,0,ostrava
100041,2023-12-25,2026-04-04,49,other,unknown,young professional,organic search,plus,desktop,9,977.76,3.3,1,6.8,28500,bank_transfer,0,1,unknown
100042,2023-07-17,2026-03-27,31,prague,praha,family,organic search,plus,mobile,7,1298.34,23.1,1,6.6,37600,paypal,0,0,prague
100043,2025-06-21,2026-04-09,21,ostrava,ostrava,family,social media,basic,mobile,4,514.71,12.6,5,5.0,28900,bank_transfer,0,0,ostrava
100044,2024-04-11,2026-03-29,37,prague,praha,young professional,partner,plus,desktop,13,822.75,8.6,0,9.4,60500,bank_transfer,0,0,prague
100045,2025-02-28,2026-04-29,32,ostrava,ostrava,family,organic search,basic,mobile,6,214.86,19.0,4,4.4,57500,card,0,0,ostrava
100046,2023-10-09,2026-04-15,54,brno,brn,family,social media,basic,desktop,4,1236.87,10.2,1,7.7,70800,bank_transfer,0,0,brno
100047,2022-03-02,2026-04-04,49,prague,prague,family,referral,basic,tablet,8,434.54,22.3,2,6.8,139300,card,0,0,prague
100048,2024-04-20,2026-04-10,45,prague,prague,retired,paid ads,basic,desktop,5,234.04,31.0,1,6.9,45400,bank_transfer,0,0,prague
100049,2022-06-16,2026-04-24,38,ostrava,ostrava,small business,direct,plus,tablet,8,1018.03,10.3,2,7.7,64500,card,0,0,ostrava
100050,2025-07-21,2026-04-21,35,prague,praha,small business,direct,plus,desktop,16,1623.76,5.0,0,5.7,138200,unknown,0,0,prague
100051,2023-01-23,2026-04-21,35,brno,brn,young professional,organic search,basic,mobile,6,464.98,15.2,3,4.9,39100,card,0,0,brno
100052,2023-03-13,2026-04-17,18,prague,prague,family,email campaign,plus,mobile,8,1034.96,6.2,3,4.3,118600,bank_transfer,0,0,prague
100053,2022-11-12,2026-04-13,38,brno,brno,young professional,email campaign,basic,desktop,9,710.98,10.3,0,8.0,57800,card,0,0,brno
100054,2022-01-14,2026-04-15,28,ostrava,ostrava,young professional,direct,plus,desktop,18,4272.87,9.7,0,8.2,85900,bank_transfer,0,0,ostrava
100056,2024-02-16,2026-04-19,39,other,other,small business,direct,basic,mobile,9,1502.03,5.3,1,6.8,62600,bank_transfer,0,0,other
100057,2025-10-01,2026-04-01,32,brno,brno,young professional,paid ads,basic,desktop,8,1199.63,12.6,6,5.5,51500,bank_transfer,0,0,brno
100058,2023-07-19,2026-03-31,50,other,other,young professional,direct,basic,mobile,15,1610.22,14.6,0,6.6,57900,paypal,0,0,other
100059,2024-11-12,2026-03-31,24,prague,prg,retired,direct,premium,desktop,4,1139.17,36.1,3,6.7,26800,card,0,0,prague
100060,2025-09-25,2026-04-26,32,prague,prague,young professional,email campaign,premium,mobile,14,5511.1,7.6,1,9.6,66300,card,0,0,prague
100061,2022-04-02,2026-04-21,34,other,other,family,paid ads,basic,mobile,3,334.05,32.7,2,4.9,54100,card,0,0,other
100063,2024-08-13,2026-04-19,38,brno,brno,young professional,paid ads,basic,desktop,8,1105.62,22.9,1,4.6,22500,cash,0,0,brno
100065,2024-11-24,2026-04-23,49,liberec,liberec,student,email campaign,basic,mobile,5,304.61,1.6,1,7.2,20200,card,0,0,liberec
100066,2024-02-15,2026-04-02,31,other,unknown,family,social media,plus,mobile,7,2868.52,5.1,1,7.5,33900,card,0,0,unknown
100067,2023-11-08,2026-04-25,49,brno,brn,young professional,paid ads,basic,mobile,10,600.53,30.3,3,6.2,36700,paypal,0,0,brno
100068,2022-07-25,2026-04-08,43,other,unknown,young professional,social media,plus,tablet,4,496.6,16.9,1,7.9,41200,card,0,0,unknown
100069,2025-01-09,2026-04-25,54,plzen,plzen,small business,direct,basic,desktop,13,2074.04,1.3,0,7.7,79400,bank_transfer,0,0,plzen
100070,2025-11-12,2026-04-27,33,olomouc,olomouc,young professional,social media,basic,desktop,4,1845.67,4.4,3,4.6,34000,card,0,0,olomouc
100071,2024-10-22,2026-03-25,34,brno,brn,young professional,organic search,basic,mobile,11,560.73,13.9,0,8.8,56300,bank_transfer,0,0,brno
100072,2024-10-18,2026-04-23,40,prague,prague,retired,social media,business,mobile,10,1337.91,2.2,2,5.6,34000,card,0,0,prague
100073,2025-11-14,2026-04-08,37,brno,brno,student,social media,premium,desktop,6,2597.84,23.0,2,7.8,13400,paypal,0,0,brno
100074,2023-07-20,2026-04-14,48,plzen,pilsen,retired,social media,basic,mobile,4,224.38,12.3,2,5.8,39200,card,0,0,plzen
100075,2025-02-03,2026-04-05,35,olomouc,olomouc,young professional,email campaign,plus,mobile,7,1663.3,21.7,2,7.4,30500,card,0,0,olomouc
100076,2023-12-04,2026-04-18,24,ostrava,ostrava,small business,partner,plus,desktop,15,3209.98,18.6,2,7.3,62700,card,0,0,ostrava
100077,2023-02-06,2026-04-28,56,olomouc,olomouc,young professional,organic search,basic,desktop,10,1972.59,14.0,2,6.0,30900,card,0,0,olomouc
100078,2023-12-31,2026-04-24,63,olomouc,olomouc,young professional,organic search,basic,desktop,12,1469.02,25.9,1,7.7,38400,cash,0,0,olomouc
100079,2022-06-11,2026-04-23,18,olomouc,olomouc,young professional,email campaign,plus,mobile,9,1293.35,19.9,1,6.3,28000,card,0,0,olomouc
100080,2022-07-21,2026-04-22,44,prague,prague,retired,referral,premium,desktop,14,3617.91,5.5,2,6.3,35500,card,0,0,prague
100081,2024-09-22,2026-04-18,48,brno,brno,family,email campaign,plus,desktop,10,1123.99,7.5,0,6.0,83500,bank_transfer,0,0,brno
100082,2022-09-27,2026-04-24,41,liberec,liberec,young professional,paid ads,plus,desktop,5,1232.97,11.1,1,7.4,64900,card,0,0,liberec
100083,2024-03-18,2026-04-24,58,other,other,family,direct,plus,mobile,8,956.75,3.7,2,5.2,32700,paypal,0,0,other
100084,2025-07-18,2026-04-15,21,ostrava,ostrava,small business,referral,plus,desktop,13,22600.32976806257,0.0,2,5.9,83400,card,0,0,ostrava
100085,2023-04-01,2026-04-06,31,other,other,young professional,direct,basic,mobile,7,551.18,7.9,2,5.3,47300,bank_transfer,0,0,other
100086,2025-03-16,2026-04-11,39,prague,prague,young professional,paid ads,basic,mobile,9,1298.3,19.4,2,8.4,52700,paypal,0,0,prague
100087,2024-10-13,2026-04-20,50,prague,prague,family,paid ads,basic,mobile,6,426.68,28.8,1,6.3,55300,card,0,0,prague
100088,2022-10-23,2026-04-08,54,ostrava,ostrava,retired,organic search,basic,mobile,3,170.36,23.0,2,6.1,17800,bank_transfer,0,0,ostrava
100089,2023-12-21,2026-04-25,22,ostrava,ostrava,young professional,direct,plus,desktop,10,1351.25,10.5,1,7.8,51600,card,0,0,ostrava
100090,2022-12-04,2026-03-30,18,brno,brno,family,direct,plus,mobile,13,2475.45,0.6,2,4.8,73800,card,0,0,brno
100091,2024-05-28,2026-04-23,48,brno,brn,student,direct,plus,mobile,4,707.62,6.3,2,6.1,22200,card,0,0,brno
100092,2023-11-09,2026-04-22,40,ostrava,ostrava,small business,email campaign,premium,desktop,20,5407.57,6.2,0,7.8,58800,card,0,0,ostrava
100093,2024-03-02,2026-04-23,40,brno,brno,young professional,referral,basic,mobile,6,1010.35,18.3,4,4.5,34700,cash,0,0,brno
100094,2022-08-05,2026-04-15,48,prague,prague,young professional,paid ads,plus,tablet,6,862.77,42.0,0,7.5,22800,card,0,0,prague
100095,2024-02-03,2026-04-11,27,other,other,family,paid ads,basic,mobile,6,403.39,39.6,0,8.0,31400,bank_transfer,0,0,other
100096,2022-07-07,2026-03-27,35,liberec,liberec,family,email campaign,business,mobile,12,5630.75,4.1,0,9.2,53000,card,0,0,liberec
100097,2025-03-28,2026-04-27,45,other,unknown,young professional,paid ads,plus,unknown,7,1431.71,20.5,0,6.8,32700,bank_transfer,0,1,unknown
100098,2023-05-08,2026-04-24,26,brno,brn,small business,email campaign,premium,tablet,19,7745.34,13.1,1,7.1,34200,card,0,0,brno
100101,2022-01-15,2026-04-02,45,other,unknown,student,organic search,premium,desktop,10,2288.97,14.1,3,6.9,21700,bank_transfer,0,0,unknown
100102,2022-03-06,2026-03-30,19,other,unknown,retired,organic search,basic,mobile,3,118.03,36.8,2,4.6,50800,paypal,0,0,unknown
100103,2023-06-05,2026-04-22,47,plzen,pilsen,family,organic search,premium,mobile,7,1827.48,17.5,2,6.8,48200,cash,0,1,plzen
100105,2025-02-26,2026-04-19,27,plzen,pilsen,retired,social media,premium,desktop,12,2341.97,2.5,1,8.5,39900,card,0,0,plzen
100106,2023-10-10,2026-04-04,67,plzen,plzen,retired,social media,plus,desktop,5,360.03,10.8,4,3.9,19300,card,0,0,plzen
100107,2024-12-22,2026-04-13,26,other,other,family,social media,business,mobile,11,5810.41,19.3,2,6.8,50300,bank_transfer,0,0,other
100109,2023-08-16,2026-03-30,42,prague,prg,young professional,paid ads,basic,mobile,10,2930.91,27.7,0,8.3,39200,card,0,0,prague
100110,not_available,2026-04-12,33,prague,praha,young professional,paid ads,plus,unknown,9,1550.99,16.2,1,5.9,45500,card,0,0,prague
100111,2023-02-23,2026-04-22,39,prague,praha,family,referral,business,mobile,20,15397.17,0.0,1,6.1,45500,bank_transfer,0,0,prague
100113,2023-01-14,2026-04-10,75,other,other,family,partner,plus,mobile,12,865.17,38.7,1,7.2,38300,card,0,0,other
100114,2022-08-19,2026-04-18,19,brno,brn,family,social media,basic,mobile,10,1560.81,9.5,0,7.2,59100,cash,0,0,brno
100115,2024-10-14,2026-03-26,18,prague,prague,young professional,paid ads,basic,desktop,3,554.02,24.3,6,3.0,58900,card,0,0,prague
100116,2022-02-10,2026-04-23,25,brno,brn,young professional,paid ads,plus,mobile,6,1392.52,16.3,1,7.8,70200,card,0,0,brno
100117,2024-11-10,2026-04-12,38,ostrava,ostrava,young professional,paid ads,premium,tablet,19,8095.07,24.9,3,7.7,36500,paypal,0,0,ostrava
100118,2022-05-15,2026-03-26,47,olomouc,olomouc,young professional,organic search,basic,mobile,6,545.17,8.5,2,6.7,42400,bank_transfer,0,0,olomouc
100119,2022-07-20,2026-04-19,39,ostrava,ostrava,family,partner,business,tablet,23,14029.48,6.9,0,8.4,98000,card,0,0,ostrava
100120,2024-02-19,2026-04-25,36,prague,prg,student,organic search,plus,mobile,5,655.91,16.1,0,5.5,24400,card,0,0,prague
100122,2024-11-22,2026-04-25,28,brno,brno,young professional,email campaign,basic,desktop,13,3729.13,1.3,0,7.7,65000,paypal,0,0,brno
100124,2023-05-18,2026-04-23,46,other,unknown,retired,organic search,premium,desktop,10,2500.67,29.8,1,7.1,15900,cash,0,0,unknown
100125,2023-02-11,2026-04-22,57,other,other,young professional,organic search,premium,mobile,12,2368.63,9.2,0,10.0,33600,card,0,0,other
100127,2022-04-09,2026-03-27,33,prague,praha,student,paid ads,plus,mobile,5,694.79,25.3,0,6.8,28200,bank_transfer,0,1,prague
100128,2023-11-15,2026-04-12,19,other,unknown,small business,paid ads,premium,mobile,14,1426.17,20.9,4,6.1,151700,card,0,0,unknown
100129,2023-12-27,2026-04-23,42,ostrava,ostrava,young professional,organic search,basic,desktop,7,763.38,12.7,1,6.4,34700,bank_transfer,0,0,ostrava
100130,2024-08-18,2026-04-20,42,prague,prague,young professional,paid ads,premium,desktop,10,1635.66,17.2,1,6.7,67200,card,0,0,prague
100131,2023-09-05,2025-11-25,64,other,other,family,paid ads,basic,desktop,7,1307.07,9.4,2,7.0,42400,bank_transfer,1,0,other
100132,2023-10-05,2026-04-23,39,prague,prague,student,organic search,premium,mobile,9,1804.84,21.2,2,9.0,41300,card,0,0,prague
100133,2024-10-25,2026-04-14,18,other,other,small business,unknown,premium,mobile,17,5599.18,40.1,0,7.7,46000,bank_transfer,0,0,other
100134,2025-05-26,2026-03-20,50,prague,prague,family,organic search,basic,tablet,7,1507.64,5.3,2,4.8,64200,card,0,0,prague
100135,2023-05-18,2026-04-22,26,brno,brno,young professional,direct,plus,tablet,13,717.65,12.4,2,5.5,28600,card,0,0,brno
100136,2025-11-06,2026-04-14,21,prague,praha,young professional,social media,basic,desktop,5,508.42,22.1,5,3.0,85500,bank_transfer,0,0,prague
100137,2023-02-02,2026-04-20,47,other,unknown,family,referral,plus,desktop,12,2068.89,0.0,3,5.6,46400,bank_transfer,0,0,unknown
100138,2024-11-23,2026-04-17,28,prague,prague,retired,organic search,basic,mobile,5,346.51,5.3,0,6.9,44900,card,0,0,prague
100139,2024-03-05,2026-04-27,30,olomouc,olomouc,family,email campaign,basic,desktop,4,776.01,5.6,0,5.2,59200,bank_transfer,0,0,olomouc
100141,2022-07-26,2026-04-26,45,liberec,liberec,young professional,partner,basic,desktop,12,2308.81,7.2,1,5.3,25800,unknown,0,0,liberec
100142,2024-11-04,2026-04-14,46,liberec,liberec,young professional,direct,premium,mobile,12,1966.44,21.1,1,7.3,50600,unknown,0,0,liberec
100143,2024-06-10,2026-04-18,20,prague,prague,family,referral,basic,mobile,11,1555.99,8.3,2,7.9,73800,bank_transfer,0,0,prague
100144,2024-05-13,2026-04-19,47,brno,brno,family,social media,plus,desktop,10,1106.42,2.2,1,6.2,64200,bank_transfer,0,0,brno
100145,2024-01-13,2026-04-06,34,brno,brno,young professional,organic search,plus,desktop,9,2606.32,13.8,2,6.8,59000,bank_transfer,0,1,brno
100146,2025-06-18,2026-04-18,32,other,other,small business,referral,basic,mobile,13,853.67,7.8,0,7.9,64100,card,0,0,other
100147,2023-07-18,2026-04-06,43,liberec,liberec,young professional,email campaign,premium,mobile,22,5108.68,2.6,1,8.5,33900,card,0,0,liberec
100148,2024-10-17,2026-04-03,38,olomouc,olomouc,family,organic search,plus,mobile,8,1784.18,1.6,2,7.1,29600,bank_transfer,0,0,olomouc
100149,2022-04-06,2026-04-09,19,brno,brno,young professional,organic search,premium,desktop,11,3377.1,5.0,1,7.9,74300,card,0,0,brno
100150,2023-04-30,2026-03-31,50,other,other,young professional,email campaign,basic,tablet,3,319.97,3.4,1,3.7,37900,paypal,0,0,other
100151,2025-12-01,2026-04-25,52,prague,praha,family,referral,basic,mobile,10,891.33,4.6,3,6.8,37200,card,0,0,prague
100152,2023-12-15,2026-04-25,30,prague,prague,small business,social media,plus,mobile,7,1194.7,28.0,0,8.6,66000,bank_transfer,0,0,prague
100153,2024-01-19,2026-04-28,46,olomouc,olomouc,small business,email campaign,basic,desktop,11,1248.26,22.6,1,6.2,70800,card,0,0,olomouc
100154,2025-04-09,2026-04-25,50,ostrava,ostrava,family,organic search,premium,desktop,13,3117.56,11.6,0,9.6,51300,bank_transfer,0,0,ostrava
100155,2023-06-25,2026-04-15,18,ostrava,ostrava,young professional,referral,basic,desktop,11,1175.91,9.5,4,6.8,58600,card,0,0,ostrava
100156,2024-11-25,2026-04-14,31,brno,brno,student,social media,premium,desktop,5,2417.57,15.8,0,6.9,29000,card,0,0,brno
100157,2023-06-09,2026-03-29,18,prague,praha,family,social media,premium,mobile,14,4347.82,7.2,2,7.5,41000,card,0,0,prague
100158,2026-12-01,2026-04-07,46,prague,praha,student,direct,plus,mobile,7,649.45,5.3,1,5.7,28400,card,0,0,prague
100159,2025-06-20,2026-04-10,44,brno,brn,retired,referral,basic,mobile,10,495.33,4.2,3,6.9,29200,card,0,0,brno
100160,2025-01-14,2026-04-24,29,ostrava,ostrava,young professional,paid ads,basic,tablet,6,549.39,31.8,1,4.6,36700,card,0,0,ostrava
100161,2023-08-01,2026-04-25,36,other,other,family,email campaign,plus,mobile,13,2714.71,9.0,1,6.8,64300,cash,0,1,other
100162,2023-11-13,2025-12-06,33,brno,brn,student,direct,plus,mobile,7,1043.49,7.9,2,6.2,38000,card,1,0,brno
100163,2023-07-11,2026-03-22,18,other,other,retired,paid ads,basic,mobile,6,293.85,41.7,0,6.8,42300,card,0,1,other
100164,2025-11-15,2026-04-21,55,prague,prague,young professional,email campaign,basic,mobile,6,768.64,5.3,1,6.5,56000,paypal,0,0,prague
100165,2023-10-08,2026-04-13,41,prague,prg,young professional,organic search,plus,mobile,9,2223.25,0.7,3,5.4,66000,card,0,0,prague
100167,2024-11-17,2026-04-29,36,ostrava,ostrava,family,paid ads,premium,unknown,7,2170.06,35.7,0,9.5,39600,card,0,0,ostrava
100168,2025-09-25,2026-04-22,47,prague,prg,young professional,paid ads,basic,mobile,6,779.93,16.6,2,9.3,34900,card,0,0,prague
100169,2025-09-16,2026-04-02,18,liberec,liberec,young professional,organic search,business,mobile,15,7588.59,7.9,1,7.4,26400,card,0,0,liberec
100170,2025-10-03,2027-05-10,27,prague,prague,student,organic search,business,mobile,10,2944.81,18.3,2,6.7,32400,card,0,0,prague
100171,2025-06-08,2026-04-17,41,ostrava,ostrava,student,email campaign,basic,mobile,3,553.62,5.1,5,6.8,23600,paypal,0,1,ostrava
100172,2022-07-09,2026-04-26,53,brno,brno,family,email campaign,basic,desktop,11,1396.42,5.3,3,4.6,66800,card,0,0,brno
100173,2025-06-02,2026-04-14,18,prague,prague,young professional,organic search,basic,tablet,10,1371.97,31.5,2,5.4,69500,card,0,0,prague
100174,2023-11-09,2026-03-24,51,plzen,pilsen,small business,referral,basic,mobile,12,1084.34,8.2,2,7.3,130100,card,0,0,plzen
100175,2025-11-01,2026-04-06,29,brno,brn,small business,unknown,basic,mobile,11,1432.81,24.5,3,5.3,98000,unknown,0,0,brno
100176,2025-07-30,2026-04-13,34,prague,prg,family,referral,plus,tablet,8,3355.52,3.0,1,6.3,57900,card,0,0,prague
100177,2023-09-25,2026-04-22,38,other,other,family,partner,plus,tablet,9,1035.85,10.1,1,4.7,28200,card,0,0,other
100178,2025-12-18,2026-04-20,24,olomouc,olomouc,family,referral,plus,desktop,19,2000.71,3.4,2,8.3,56300,paypal,0,0,olomouc
100179,2022-11-06,2026-04-02,22,prague,prague,family,referral,basic,desktop,9,963.88,0.0,3,5.9,51200,card,0,0,prague
100180,2022-11-18,2026-04-25,41,ostrava,ostrava,young professional,paid ads,plus,desktop,10,2538.88,28.9,0,6.8,30200,bank_transfer,0,1,ostrava
100181,2025-10-14,2026-04-18,63,prague,prague,student,paid ads,basic,mobile,1,81.37,22.6,1,5.9,23800,paypal,0,0,prague
100182,2023-12-18,2026-04-22,26,other,other,small business,email campaign,basic,mobile,12,1579.29,12.1,1,6.8,79500,card,0,1,other
100183,2025-12-05,2026-04-10,26,olomouc,olomouc,young professional,direct,basic,desktop,8,688.14,17.9,1,6.2,42400,card,0,0,olomouc
100184,2023-10-11,2026-04-05,22,plzen,plzeň,small business,paid ads,basic,desktop,1,97.7,32.0,5,4.5,131100,paypal,0,0,plzen
100185,2024-11-06,2026-04-17,35,prague,prague,family,direct,plus,mobile,10,928.42,8.0,0,5.4,55500,card,0,0,prague
100186,2025-06-02,2026-03-20,25,other,other,young professional,referral,basic,desktop,9,339.56,18.1,1,8.6,22900,card,0,0,other
100187,2025-06-11,2026-03-15,26,prague,praha,small business,referral,premium,mobile,16,3999.41,9.9,1,7.0,64600,cash,0,0,prague
100188,2023-11-15,2026-04-07,41,ostrava,ostrava,family,organic search,business,desktop,16,10566.28,18.8,1,6.9,25600,cash,0,0,ostrava
100189,2023-10-26,2026-04-27,19,olomouc,olomouc,family,social media,basic,mobile,4,284.14,19.4,0,7.0,63700,card,0,0,olomouc
100190,2025-10-29,2026-04-27,59,ostrava,ostrava,young professional,partner,plus,mobile,10,2571.97,2.2,0,6.4,50800,bank_transfer,0,0,ostrava
100191,2025-06-10,2026-04-20,23,other,other,retired,organic search,plus,desktop,7,1044.75,5.2,3,5.2,20700,card,0,0,other
100192,2025-02-10,2026-04-15,53,other,other,small business,paid ads,basic,mobile,3,304.72,22.9,3,6.9,56300,card,0,0,other
100193,2023-12-10,2026-04-23,64,prague,praha,student,social media,basic,mobile,9,356.41,27.7,0,4.9,30800,paypal,0,0,prague
100194,2023-07-18,2026-04-08,54,plzen,plzeň,small business,paid ads,business,mobile,19,11711.22,23.1,0,6.9,51600,card,0,0,plzen
100195,2025-07-15,2026-03-14,52,prague,prague,student,paid ads,plus,mobile,4,219.42,29.7,3,6.0,20000,card,0,0,prague
100197,2025-11-11,2026-04-21,41,olomouc,olomouc,retired,partner,business,desktop,15,3361.47,9.3,1,7.9,38200,paypal,0,0,olomouc
100198,2025-02-10,2026-04-17,53,brno,brno,small business,referral,basic,unknown,9,1514.99,0.6,0,6.8,74400,bank_transfer,0,1,brno
100199,2024-08-09,2026-04-26,35,liberec,liberec,family,organic search,basic,mobile,10,871.55,5.7,2,6.5,28500,cash,0,0,liberec
100200,2025-01-09,2026-04-11,49,plzen,plzeň,family,organic search,basic,desktop,5,834.3,3.3,1,9.0,50300,card,0,0,plzen
100201,2023-11-30,2026-04-14,52,ostrava,ostrava,student,paid ads,basic,tablet,2,195.49,22.6,3,4.6,18000,card,0,0,ostrava
100202,2022-04-23,2026-04-16,45,ostrava,ostrava,young professional,paid ads,business,mobile,15,4458.8,15.3,1,7.9,31200,paypal,0,0,ostrava
100204,2023-10-04,2026-04-07,44,ostrava,ostrava,student,social media,plus,desktop,3,326.59,8.9,1,6.8,21500,bank_transfer,0,0,ostrava
100205,2022-08-08,2026-04-17,33,prague,prague,family,direct,premium,desktop,11,3021.96,2.3,1,8.8,37300,card,0,0,prague
100206,2024-05-04,2026-03-31,31,plzen,plzen,young professional,email campaign,plus,mobile,8,960.32,16.8,0,7.5,28400,bank_transfer,0,0,plzen
100207,2025-06-02,2026-04-30,48,plzen,plzen,family,social media,basic,mobile,5,1122.31,38.3,3,5.4,56800,cash,0,0,plzen
100208,2024-03-12,2026-04-16,40,brno,brn,student,email campaign,basic,desktop,8,461.44,15.7,2,5.3,25300,card,0,0,brno
100209,2025-11-27,2026-04-16,48,prague,prg,student,social media,plus,desktop,6,1396.0,9.3,1,7.4,29600,card,0,0,prague
100210,2025-02-27,2026-04-14,40,ostrava,ostrava,student,organic search,premium,desktop,11,3758.14,8.5,0,9.1,20300,paypal,0,0,ostrava
100211,2024-12-12,2026-04-29,45,ostrava,ostrava,family,social media,basic,mobile,6,868.95,11.4,2,7.6,50900,bank_transfer,0,0,ostrava
100213,2025-12-10,2026-04-28,36,brno,brno,young professional,direct,basic,mobile,14,1134.86,19.3,1,7.9,51300,bank_transfer,0,0,brno
100214,2022-09-04,2026-04-24,33,brno,brn,family,referral,plus,mobile,6,715.17,0.0,0,10.0,38000,card,0,0,brno
100215,2024-04-15,2025-08-09,44,brno,brno,family,paid ads,basic,mobile,12,1155.06,31.0,1,5.4,46100,bank_transfer,1,1,brno
